countryIso,schemeName,stream,material,packagingType,rate,currency,unit,sourceUrl,effectiveFrom,effectiveTo
SE,TMR,household,Plastic,,0.35-0.90,EUR,per_kg,placeholder:openai,,
SE,TMR,household,Glass,,0.05-0.10,EUR,per_kg,placeholder:openai,,
SE,TMR,household,Paper/Cardboard,,0.08-0.20,EUR,per_kg,placeholder:openai,,
SE,TMR,household,Metal,,0.12-0.25,EUR,per_kg,placeholder:openai,,
SE,FTI,household,Plastic,,0.35-0.90,EUR,per_kg,placeholder:openai,,
SE,FTI,household,Glass,,0.05-0.10,EUR,per_kg,placeholder:openai,,
SE,FTI,household,Paper/Cardboard,,0.08-0.20,EUR,per_kg,placeholder:openai,,
SE,FTI,household,Metal,,0.12-0.25,EUR,per_kg,placeholder:openai,,
SE,FTI,household,Plastic,,,SEK,per_kg,https://www.ftiab.se,,
SE,FTI,household,Glass,,,SEK,per_kg,https://www.ftiab.se,,
SE,FTI,household,Paper/Cardboard,,,SEK,per_kg,https://www.ftiab.se,,
SE,FTI,household,Metal,,,SEK,per_kg,https://www.ftiab.se,,
SE,El-Kretsen,household,Plastic,,,SEK,per_kg,https://www.ftiab.se,,
SE,El-Kretsen,household,Glass,,,SEK,per_kg,https://www.ftiab.se,,
SE,El-Kretsen,household,Paper/Cardboard,,,SEK,per_kg,https://www.ftiab.se,,
SE,El-Kretsen,household,Metal,,,SEK,per_kg,https://www.ftiab.se,,
SE,El-Kretsen (EEE),both,Consumer electronics,,,SEK,per_unit,https://www.el-kretsen.se,,
SE,El-Kretsen (EEE),both,Professional equipment,,,SEK,per_unit,https://www.el-kretsen.se,,
SE,El-Kretsen (EEE),both,Annual affiliation fee,membership,500,SEK,flat_fee,https://www.el-kretsen.se,,
SE,El-Kretsen (Batteries),both,Portable batteries,,,SEK,per_kg,https://www.el-kretsen.se,,
SE,El-Kretsen (Batteries),both,Annual affiliation fee,membership,500,SEK,flat_fee,https://www.el-kretsen.se,,
